532.87	-4.45
542.56	-4.45
552.44	-4.46
562.49	-4.46
572.73	-4.46
583.15	-4.47
593.77	-4.48
604.57	-4.48
615.57	-4.5
626.78	-4.51
638.18	-4.53
649.8	-4.55
661.63	-4.57
673.67	-4.59
685.93	-4.62
698.41	-4.65
711.12	-4.69
724.06	-4.72
737.24	-4.77
750.66	-4.82
764.32	-4.88
778.23	-4.94
792.39	-5.01
806.82	-5.09
821.5	-5.17
836.45	-5.26
851.67	-5.36
867.17	-5.46
882.96	-5.56
899.02	-5.66
915.39	-5.75
932.05	-5.85
949.01	-5.94
966.28	-6.02
983.87	-6.09
1001.77	-6.14
1020	-6.18
1038.57	-6.21
1057.47	-6.21
1076.71	-6.19
1096.31	-6.15
1116.26	-6.09
1136.58	-6.01
1157.26	-5.9
1178.32	-5.77
1199.77	-5.62
1221.6	-5.45
1243.84	-5.25
1266.47	-5.03
1289.52	-4.79
1312.99	-4.54
1336.89	-4.28
1361.22	-4
1385.99	-3.71
1411.22	-3.42
1436.9	-3.11
1463.05	-2.8
1489.68	-2.49
1516.79	-2.16
1544.4	-1.82
1572.5	-1.48
1601.12	-1.12
1630.26	-0.75
1659.93	-0.37
1690.14	0.01
1720.9	0.41
1752.22	0.81
1784.11	1.22
1816.58	1.63
1849.64	2.04
1883.3	2.45
1917.58	2.86
1952.48	3.28
1988.01	3.69
2024.19	4.11
2061.03	4.52
2098.54	4.94
2136.73	5.37
2175.62	5.8
2215.22	6.23
2255.53	6.67
2296.58	7.1
2338.38	7.52
2380.94	7.94
2424.27	8.33
2468.39	8.71
2513.31	9.05
2559.05	9.37
2605.63	9.65
2653.05	9.9
2701.33	10.11
2750.5	10.3
2800.55	10.45
2851.52	10.59
2903.42	10.7
2956.26	10.79
3010.06	10.86
3064.85	10.91
3120.62	10.94
3177.42	10.95
3235.25	10.94
3294.13	10.91
3354.08	10.86
3415.12	10.8
3477.27	10.73
3540.56	10.65
3605	10.56
3670.6	10.46
3737.41	10.36
3805.43	10.26
3874.68	10.15
3945.2	10.03
4017	9.92
4090.11	9.8
4164.55	9.68
4240.34	9.56
4317.51	9.44
4396.09	9.32
4476.1	9.21
4557.56	9.09
4640.5	8.99
4724.96	8.89
4810.95	8.8
4898.51	8.72
4987.66	8.65
5078.43	8.58
5170.86	8.53
5264.97	8.48
5360.79	8.44
5458.35	8.4
5557.69	8.36
5658.84	8.33
5761.82	8.3
5866.69	8.27
5973.46	8.25
6082.17	8.23
6192.87	8.22
6305.57	8.21
6420.33	8.2
6537.18	8.2
6656.15	8.2
6777.29	8.21
6900.63	8.21
7026.22	8.22
7154.1	8.22
7284.3	8.22
7416.87	8.21
7551.85	8.19
7689.29	8.15
7829.23	8.1
7971.72	8.03
8116.8	7.94
8264.53	7.82
8414.94	7.69
8568.09	7.53
8724.02	7.37
8882.79	7.2
9044.46	7.02
9209.06	6.85
9376.66	6.67
9547.31	6.48
9721.07	6.3
9897.99	6.11
10078.13	5.92
10261.55	5.72
10448.3	5.52
10638.45	5.31
10832.07	5.09
11029.21	4.87
11229.94	4.64
11434.32	4.41
11642.41	4.17
11854.3	3.94
12070.04	3.69
12289.71	3.45
12513.38	3.2
12741.12	2.95
12973	2.7
13209.1	2.45
13449.5	2.21
13694.28	1.96
13943.51	1.73
14197.27	1.49
14455.66	1.25
14718.74	1.02
14986.62	0.78
15259.37	0.55
15537.08	0.31
15819.85	0.08
16107.76	-0.15
16400.92	-0.39
16699.41	-0.62
17003.33	-0.86
17312.78	-1.1
17627.86	-1.34
17948.68	-1.58
18275.34	-1.82
18607.94	-2.06
18946.6	-2.31
19291.42	-2.56
19642.52	-2.81
20000	-3.06
